CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Water Trails,Clason Point Park,Foot of Soundview Avenue & East River,10473,Not Available,Not Available,"Description: <p>A concrete ramp provides access to marshes of Pugsley Creek, the East River, the Hutchinson River Drainage, and Long Island Sound. Portage is 150 feet.</p>
<p>Caution:&nbsp;Strong currents in the East River, heavy commercial traffic, and lots of broken glass in Launch Area.</p> Hours: Not Available Storage: Public storage container"
Water Trails,Hunts Point Riverside Park,Lafayette Ave & Edgewater Rd,10474,Not Available,Not Available,"Description: <p>A gravel beach offers access to the sheltered waters of the Bronx River. Portage is 200ft. on an asphalt path.</p>
<p>Caution: A half mile north, a boom collects debris and helps prevent motorized traffic from going north; to the south are strong currents and a working shipping channel.</p> Hours: Not Available Storage: Private storage only (belongs to ""rocking the boat"
Water Trails,Barretto Point Park,E/S Barretto Street & N/O Randall Ave,10474,Not Available,Not Available,Description: Not Available Hours: Sunrise to Sunset Storage: Storage 1 private(Senator Serrano) 2 public (Parks
Water Trails,World's Fair Marina,Grand Central Parkway & Northern Blvd,11368,Not Available,Not Available,Description: Not Available Hours: 7:00am-8:00pm Storage: Public storage available
Water Trails,Bayside Marina,Cross Island Pkwy & Little Neck Bay,11360,Not Available,Not Available,Description: Not Available Hours: Not Available Storage: None
Water Trails,Francis Lewis Park,3rd Avenue and Parson's Blvd,11357,Not Available,Not Available,Description: Not Available Hours: Not Available Storage: None
Water Trails,Salt Marsh Nature Center (Gerritsen Inlet),Avenue U between Burnett Street & East 33 Street,11234,Not Available,Not Available,Description: Not Available Hours: Not Available Storage: No Storage available
Water Trails,Pelham Bay Park (Orchard Beach Lagoon),Orchard Beach Rd & Lagoon,10465,Not Available,Not Available,Description: Not Available Hours: Sunrise to Sunset Storage: No storage available
Water Trails,Little Bay Park (Fort Totten),Little Bay,11357,Not Available,Not Available,Not Available
Water Trails,Idlewild,Craft Avenue & Huxley Street,11430,Not Available,Not Available,Not Available
Water Trails,Midland Beach,Father Capodanno Boulevard & Lincoln Avenue (Parking Lot),10305,Not Available,Not Available,Not Available
Water Trails,Conference House,Hylan Blvd & Satterlee Street,10307,Not Available,Not Available,Not Available
Water Trails,Newtown Creek,"Provost Street and Paige Avenue, Greenpoint",11222,Not Available,Not Available,Not Available
Water Trails,Bayswater,Beach 35 St & Norton Ave,11691,Not Available,Not Available,Not Available
Water Trails,Hallet's Cove,Vernon Blvd,11102,Not Available,Not Available,Not Available
Water Trails,Floyd Bennett Field,Floyd Bennett Field,11234,Not Available,Not Available,Not Available
Water Trails,Sherman Creek,W.202nd Street,10034,Not Available,Not Available,Not Available
Water Trails,Great Kills Park,Hylan Blvd & Buffalo Street,10306,Not Available,Not Available,Not Available
Water Trails,Hudson River Park (Pier 66),W. 26th Street,10011,Not Available,Not Available,Not Available
Water Trails,Gowanus Canal,Foot of 2nd Street,11231,Not Available,Not Available,Not Available
Water Trails,Alice Austen House/Buono Beach,Hylan Boulevard & Edgewater Street,10305,Not Available,Not Available,Not Available
Water Trails,South Beach,Father Capodanno Boulevard & Sand Lane,10305,Not Available,Not Available,Not Available
Water Trails,Shoelace Park,Bronx Park & 219th Street,10467,Not Available,Not Available,Not Available
Water Trails,Concrete Plant Park,Westchester Avenue or Bruckner Boulevard,10472,Not Available,Not Available,Not Available
Water Trails,Manhattan Avenue,"Manhattan Avenue Street-end, Greenpoint",10025,Not Available,Not Available,Not Available
Water Trails,Brooklyn Bridge Park,Between Piers 1 and 2,11201,Not Available,Not Available,Not Available
Water Trails,West Harlem Piers,"130th Street & Marginal Street, Harlem",10027,Not Available,Not Available,Not Available
Water Trails,Govenors Island,"Pier 101, near the Brooklyn Battery Tunnel Vent",10004,Not Available,Not Available,Not Available
Water Trails,Soundview Park,"O'Brien Avenue at Leland Avenue, Soundview",10473,Not Available,Not Available,Not Available
Water Trails,Hudson River Park (Pier 25),"West Street, between Moore Street and Harrison Street",10013,Not Available,Not Available,Not Available
Water Trails,Cedar Grove Beach,Foot of New Dorp Lane,10306,Not Available,Not Available,Not Available
Water Trails,Canarsie Pier,End of Rockaway Parkway at Aviation Road,11236,Not Available,Not Available,Not Available
Water Trails,Riis Landing,Rockaway Boulevard and Heinzelman Road,11697,Not Available,Not Available,Not Available
Water Trails,Pier One at Brooklyn Bridge Park,Brooklyn Bridge Park Greenway,11201,Not Available,Not Available,Not Available
Water Trails,Hudson River Park (Pier 26),Hudson River Park at Hubert Street,10013,Not Available,Not Available,Not Available
Water Trails,"Riis Landing, Kayak/Canoe Launch",201 Rockaway Point Road,11697,Not Available,Not Available,Not Available
Water Trails,MacNeil Park,Poppenhusen Ave. bet. 115 St. and College Pl.,11356,Not Available,Not Available,Not Available
Water Trails,Randall's Island Park,Northwestern Randall's Island and Bronx Kill,10035,Not Available,Not Available,Not Available
