CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS,TOURIST TYPE,Distance_Empire
Art Gallery,Parker's Box,193 Grand St ,11211,(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,Not Available,"Family, Couple, Individual",3.33 Miles
Art Gallery,Parsons Galleries,2 W. 13th St. ,10011,(212) 229-8987,http://www.parsonswest.com/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Patricia Laligant Photographs,150 W 28th St ,10001,(212) 252-9922,http://www.patricialaligant.com/intro.htm,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Patrick's Gallery,220 W 19th St ,10011,(212) 741-7453,http://outalot.com/listings/318942-Patricks-Gallery,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Paul Kasmin Gallery,293 10th Ave ,10001,(212) 563-4474,http://www.paulkasmingallery.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Paula Cooper Gallery,534 W. 21st St. ,10011,(212) 255-1105,http://www.paulacoopergallery.com/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Peck Ian Fine Paintings Ltd,980 Madison Ave ,10021,(212) 396-2442,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D01E8-3048-28EB-92857B8592DAED09,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Peder Bonnier Inc,206 W 23rd St Fl 4,10011,(646) 638-0878,http://web2.userinstinct.com/30816857-peder-bonnier-inc.htm,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Perimeter Gallery,511 W 25th St ,10001,(212) 675-1585,http://www.spoke.com/info/c633Fr3/PerimeterGalleryInc,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Perlow Rich Katharina Gallery Inc,41 E 57th St ,10022,(212) 644-7171,http://www.artnet.com/katharinarichperlow.html,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Peter L Villa Fine Art,110 E 57th St ,10022,(212) 371-1196,http://peterlvillafineart.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Peter Rose Gallery,200 E 58th St Apt 20C,10022,(212) 759-8173,http://peterrosegallery.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Peters Gerald Gallery,24 E 78th St ,10075,(212) 628-9760,http://www.gpgallery.com/,Not Available,"Family, Couple, Individual",2.54 Miles
Art Gallery,Phoenix Gallery,210 ELEVENTH AVENUE SUITE 902,10001,(212) 226-8711,http://www.phoenix-gallery.com/phoenixgalleryfellowship2009.pdf,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Phoneup,55 Chrystie St ,10002,(212) 219-8287,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx,Not Available,"Family, Couple, Individual",2.34 Miles
Art Gallery,Photo Collection Gagliardi,27 W 20th St ,10011,(212) 229-1816,http://www.gagliardiphoto.com/contact.htm,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Photo District Gallery,37 W 20th St Lbby,10011,(212) 807-8787,http://wap.outalot.com/listings/319183-Photo-District-Gallery,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Phyllis Lucas Gallery Inc,981 2nd Ave ,10022,(212) 755-1516,http://www.phyllislucasgallery.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Picture This Corporate Art,249 Smith Street # 102,11231,(718) 625-2722,http://www.ptcanyc.com/,Not Available,"Family, Couple, Individual",4.78 Miles
Art Gallery,Pierogi 2000,177 N 9th St ,11211,(718) 599-2144,http://www.pierogi2000.com/,Not Available,"Family, Couple, Individual",3.33 Miles
Art Gallery,Place Des Vosges,816 Broadway ,10003,(212) 995-2899,http://local.yahoo.com/info-11035506-place-des-vosges-manhattan,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Plane Space,102 Charles St ,10014,(917) 606-1268,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,Not Available,"Family, Couple, Individual",1.13 Miles
Art Gallery,Plaza Holding Inc,15 W 55th St ,10019,(212) 247-4744,http://m.nyc.com/arts__attractions/plaza_holding_inc.300/map_location.aspx,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Plaza Holding Inc,15 W 55th St ,10019,(212) 956-1900,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Plaza Watch & Jewelry Exchange,145 W 57th St ,10019,(212) 246-2000,http://local.botw.org/New_York/New_York/Plaza_Watch_and_Jewelry_Exchange/55631196.html,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Pleiades Gallery,530 W 25th St ,10001,(646) 230-0056,http://www.pleiadesgallery.com/index.html,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Plum Blossom Gallery,555 W 25th St ,10001,(212) 719-7008,http://www.plumblossoms.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Poller Leah,98 Greene St ,10012,(212) 274-1704,http://www.sculpture.org/portfolio/sculptorPage.php?sculptor_id=1003310,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Portico Fine Art,139 Spring St ,10012,(212) 941-8248,http://www.porticony.com/,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Postmasters Gallery,459 W 19th St ,10011,(212) 727-3323,http://www.postmastersart.com/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Praxis International Art,25 E 73rd St Fl 4,10021,(212) 772-9478,http://galleries.absolutearts.com/galleries/praxis-art/index.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Prieto International Attorney In Fact Johnpoll,127 Fulton St ,10038,(212) 267-6790,http://m.nyc.com/arts__attractions/prieto_international_attorney_in_fact_johnpoll.793/whats_nearby.aspx?sec=pha,Not Available,"Family, Couple, Individual",2.99 Miles
Art Gallery,Prince Street Gallery,530 W 25th St ,10001,(646) 230-0246,http://www.princestreetgallery.com/contact.html,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Professional Fine Arts Svces Inc,141 W 20th St ,10011,(646) 336-6613,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Proposition the,162 11th Ave ,10011,(212) 242-0035,http://www.theproposition.com/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Public Art Fund,1 E. 53d St. ,10022,(212) 980-4575,http://www.publicartfund.org/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Puerto Rican Work Shop Inc,121 E 106th St ,10029,(212) 534-7534,http://www.nyc.com/arts__attractions/puerto_rican_work_shop_inc.1733/whats_nearby.aspx,Not Available,"Family, Couple, Individual",3.87 Miles
Art Gallery,Pushman Gallery Inc,154 W 57th St ,10019,(212) 582-0130,http://local.botw.org/New_York/New_York/Pushman_Gallery_Inc/10887507.html,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Pytlak Art Studio,573 Metropolitan Ave ,11211,(718) 599-1265,http://www.anitapytlak.net/uk/index.html,Not Available,"Family, Couple, Individual",3.33 Miles
Art Gallery,Queen Art Publishers Inc,481 Washington St ,10013,(212) 274-0237,http://www.lights.ca/publisher/db/9/3739.html,Not Available,"Family, Couple, Individual",2.03 Miles
Art Gallery,Questroyal Fine Art,903 Park Ave Apt 3A,10021,(212) 744-3586,http://www.questroyalfineart.com/,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Rabenou Yris Ancient Arts,249 E 61st St ,10021,(212) 486-0661,http://www.antiquecollectiblestore.com/detail/48742/rabenou-yris-ancient-arts.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Radio House Gallery,601 W 26th St ,10001,(212) 620-7630,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6139-3048-28EB-92ED919F6F1756B9,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Rafael Gallery,241 E 59th St ,10022,(212) 744-8666,http://www.getfave.com/locations/888896-rafael-gallery,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Rainbow Fine Art Inc,15 E 82nd St ,10028,(212) 585-2587,http://local.botw.org/New_York/New_York/Rainbow_Fine_Art_Inc/11030300.html,Not Available,"Family, Couple, Individual",2.97 Miles
Art Gallery,Ralph Chait Galleries Inc,724 5th Ave ,10019,(212) 397-2818,http://www.rmchait.com/,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Randel Gallery Inc,49 East 78th Street 1B,10021,(212) 861-6650,http://www.antiquesandfineart.com/dealers/about.cfm?id=427&ap=1,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Randolph & Tate Assocs,234 5th Ave ,10001,(212) 595-6302,http://directory.northjersey.com/randolph+tate+assocs.9.7658139p.home.html,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Raphael Fodde Editions,70 WASHINGTON ST ,11201,(718) 624-6048,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn,Not Available,"Family, Couple, Individual",3.70 Miles
Art Gallery,Rare art Gallery,521 W 26th St Bsmt ,10001,(212) 268-1520,http://www.rare-gallery.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Raydon Gallery,1091 Madison Ave ,10001,(212) 288-3555,http://www.rateitall.com/i-410005-raydon-gallery.aspx,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Red Dot,140 W 22nd St ,10011,(212) 675-0448,http://www.rateitall.com/i-410007-red-dot.aspx,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Reece Galleries Inc The,24 W 57th St ,10019,(212) 333-5830,http://www.reecegalleries.com/,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Reeves Contemporary Inc,535 W 24th St ,10011,(212) 714-0044,http://www.cynthia-reeves.com/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Rehs Galleries Inc,5 E 57th St Fl 8,10022,(212) 355-5710,http://www.rehs.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Reinhold Brown Gallery,1100 Madison Ave Ph,10028,(212) 734-7999,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6945-3048-28EB-92C3310EAAC2B0DD,Not Available,"Family, Couple, Individual",2.97 Miles
Art Gallery,Resnick Ira Inc,133 E 58th St Ste 1001,10022,(212) 223-1009,http://www.nyc.com/search/find.aspx?secid=2&name=Resnick%20Ira%20Inc,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Ricco Maresca Gallery,529 W 20th St ,10011,(212) 627-4819,http://www.riccomaresca.com,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Richard Gray Gallery,1018 Madison Ave ,10021,(212) 472-8787,http://www.richardgraygallery.com/default.asp,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Richard Solomon,305 E 50th St ,10022,(212) 223-9545,http://www.richardsolomon.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Richard York Gallery,21 E. 65th St. 2nd. Fl.,10065,(212) 772-9155,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6E92-3048-28EB-924791189BBB08A3,Not Available,"Family, Couple, Individual",2.05 Miles
Art Gallery,Rienzo Gallery,20 E 69th St ,10021,(212) 288-2226,http://www.artnet.com/Galleries/About.asp?G=&gid=166017&which=&rta=http://www.artnet.com,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Ritter-Antik Inc,35 E 10th St ,10003,(212) 673-2213,http://www.ritterantik.com/index.php,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Rivington Bar & Art Gallery,174 Rivington St ,10002,(212) 253-7703,http://www.nyc.com/arts__attractions/rivington_bar__art_gallery.1676/whats_nearby.aspx,Not Available,"Family, Couple, Individual",2.34 Miles
Art Gallery,Robert Lee Morris Inc,400 W Broadway ,10012,(212) 431-9405,http://www.robertleemorris.com/contactus.php,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Robert Mann Gallery,210 11th Ave ,10001,(212) 989-7600,http://www.robertmann.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Robert Miller Gallery Inc,526 W 26th St ,10001,(212) 366-4774,http://www.robertmillergallery.com/index2.html,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Robert Steele Gallery,511 W 25th St ,10001,(212) 243-0165,http://www.robertsteelegallery.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Robertson African Arts,36 W 22nd St Apt 4,10010,(212) 206-0912,http://wap.outalot.com/listings/314463-Robertson-African-Arts,Not Available,"Family, Couple, Individual",0.63 Miles
Art Gallery,Rogallerycom,300 East 74th Street ,10021,(212) 732-6887,http://www.auction-directory.info/auction/rogallerycom-300-east-74th-street-new-york-ny-212-732-6887/1283,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Ronald Feldman Fine Arts,31 Mercer St ,10013,(212) 226-3232,http://www.feldmangallery.com/pages/home_frame.html,Not Available,"Family, Couple, Individual",2.03 Miles
Art Gallery,Roosevelt Island Visual Arts Assoc,527 Main St ,10044,(212) 308-6630,http://rivaa.com/,Not Available,"Family, Couple, Individual",2.78 Miles
Art Gallery,Rosen Andrea Gallery Inc,525 W 24th St ,10011,(212) 627-6000,http://www.andrearosengallery.com/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Rosenberg & Kaufman Fine Art,115 Wooster St ,10012,(212) 431-4838,http://www.robertkuszek.com/,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Rosenberg Paul & Co,20 E 79th St ,10021,(212) 472-1134,http://local.botw.org/New_York/New_York/Rosenberg_Paul_and_Co/11505286.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Ross Luise Gallery,511 West 25 Street ,10001,(212) 343-2161,http://www.luiserossgallery.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Roth,160A E 70th St ,10021,(212) 717-9067,http://www.andrewroth.com/,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Rotunda Gallery,33 Clinton St ,11201,(718) 875-4047,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,Not Available,"Family, Couple, Individual",3.70 Miles
Art Gallery,Royal Fine Art,1158 Lexington Ave ,10021,(212) 452-4297,http://m.nyc.com/arts__attractions/royal_fine_art.361/map_location.aspx,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Royal-Athena Galleries,153 E 57th St Ph,10022,(212) 355-2033,http://www.royalathena.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Ruesch Jeffrey Fine Arts,134 Spring St Fl 2,10012,(212) 925-1137,http://www.rateitall.com/i-410032-ruesch-jeffrey-fine-arts.aspx,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Russeck Gallery,478 W Broadway ,10012,(212) 475-9939,http://local.botw.org/New_York/New_York/Russeck_Gallery/11582297.html,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Russian World,18 W 55th St ,10019,(212) 399-6500,http://www.nyc.com/arts__attractions/russian_world.1710/map_location.aspx,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,S & A Art Gallery Inc,1248 Lexington Ave ,10028,(212) 794-5251,http://www.masterseek.com/id/48817904/S-and-A-Art-Gallery.htm,Not Available,"Family, Couple, Individual",2.97 Miles
Art Gallery,S 2 Editions Ltd,155 Ave of the Americas ,10013,(212) 206-7345,http://www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx,Not Available,"Family, Couple, Individual",2.03 Miles
Art Gallery,S E Art & Design Inc,232 E 59th St ,10022,(212) 980-1914,http://www.seartanddesign.com/contactus.html,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Sabarsky Serge Gallery,58 E 79th St ,10021,(212) 628-6281,http://local.botw.org/New_York/New_York/Sabarsky_Serge_Gallery/11637783.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Sabbatique Ltd,10 Waterside Plz ,10010,(212) 213-9344,http://www.sabbatiqueltd.com/contact.htm,Not Available,"Family, Couple, Individual",0.63 Miles
Art Gallery,Sacks Fine Art,229 East 60th Street ,10022,(212) 333-7755,http://sacksfineart.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Safani Gallery Inc,980 Madison Ave ,10021,(212) 570-6360,http://local.botw.org/New_York/New_York/Safani_Gallery_Inc/56446980.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Salz Trager Janet,700 Park Ave ,10021,(212) 744-6080,http://metroproper.com/business/profile/view/&id=59220,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Sam's Souk,979 Lexington Ave ,10021,(212) 535-7210,http://www.manta.com/coms2/dnbcompany_8m39fn,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Sanada Ikkanart Intl,30 E 85th St ,10028,(212) 734-3055,http://local.botw.org/New_York/New_York/Sanada_Ikkanart_Intl/154034137.html,Not Available,"Family, Couple, Individual",2.97 Miles
Art Gallery,Sands & Company Inc Fine Art At Madison Av,30 E 76th St ,10021,(212) 988-3900,http://www.nyc.com/arts__attractions/sands__company_inc_fine_art_at_madison_av.848/editorial_review.aspx,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Sara Meltzer On View,588 Broadway #612,10012,(212) 343-8256,http://www.sarameltzergallery.com/artist.php?artist=tallichet&p=cv,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Sarafina Inc,411 Myrtle Ave ,11205,(718) 522-1083,http://m.nyc.com/arts__attractions/sarafina_inc.739/whats_nearby.aspx?sec=att,Not Available,"Family, Couple, Individual",4.06 Miles
Art Gallery,Sarajo Inc,130 Greene St ,10012,(212) 966-6156,http://www.yelp.com/biz/sarajo-inc-new-york,Not Available,"Family, Couple, Individual",1.70 Miles
Art Gallery,Sarina Tang Fine Art,535 W 23rd St ,10011,(212) 242-9001,http://web2.userinstinct.com/30817016-sarina-tang-fine-art.htm,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Savacou Galleries,240 E 13th St ,10003,(212) 473-6904,http://www.artchain.com/cgi-bin/showorganization.cgi?org=150,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Sayn-Wittgenstein,155 E 72nd St ,10021,(212) 288-1493,http://www.sw-fineart.com/,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Schellmann Editions,210 11th Ave ,10001,(212) 219-1821,http://www.editionschellmann.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Schickler Howard Fine Art,100 Water St ,11201,(212) 431-6363,http://www.schicklerart.com/,Not Available,"Family, Couple, Individual",3.70 Miles
Art Gallery,Schillay Fine Art,520 E 72nd St ,10021,(212) 861-8353,http://www.schillay.com/contact.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Schiller & Bodo Fine Art,120 E 65th St ,10021,(212) 772-8627,http://www.schillerandbodo.com/,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Schlesinger Gallery,24 E 73rd St ,10021,(212) 734-3600,http://newyork.maplist.org/viewthread.php?tid=442872,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Scholten Japanese Art,63 E 66th St ,10021,(212) 585-0474,http://www.artinfo.com/galleryguide/19648/6194/scholten-japanese-art-new-york/inventory/,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Schonfeld R D & Co Inc,349 E 49th St Apt 6B,10017,(212) 755-7005,http://www.nyc.com/arts__attractions/schonfeld_r_d__co_inc.288/whats_nearby.aspx,Not Available,"Family, Couple, Individual",1.28 Miles
Art Gallery,Sculpture Center,44-19 Purves St ,11101,(718) 361-1750,http://www.sculpture-center.org/,Not Available,"Family, Couple, Individual",3.00 Miles
Art Gallery,Sean Kelly Inc,526 W 29th St ,10001,(212) 239-1181,http://www.skny.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Sears-Peyton Gallery,210 11th Ave ,10001,(212) 966-7469,http://www.searspeyton.com/html/home.asp,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Second Ave Art Expo,980 2nd Ave ,10022,(212) 223-9095,http://www.merchantcircle.com/business/Second.Ave.Art.Expo.212-223-9095,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Seibold Eleanor,1601 York Ave ,10028,(212) 988-4731,http://www.nyc.com/arts__attractions/seibold_eleanor.1833/map_location.aspx,Not Available,"Family, Couple, Individual",2.97 Miles
Art Gallery,Senior & Shopmaker,21 E 26th St ,10010,(212) 213-6767,http://www.seniorandshopmaker.com/,Not Available,"Family, Couple, Individual",0.63 Miles
Art Gallery,Sepia International Inc the,148 W 24th St Fl 11,10011,(212) 645-9444,http://www.sepia.org/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Serbin Inna,342 E 77th St ,10021,(212) 249-5252,http://www.nyc.com/arts__attractions/serbin_inna.1675/whats_nearby.aspx,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Serger Helen La Boetie,9 E 82ND ST STE 3A,10028,(212) 535-4865,http://boundlessgallery.com/directory/gallery/618/Helen-Serger-LA-Boetie,Not Available,"Family, Couple, Individual",2.97 Miles
Art Gallery,Seven Colors,555 5th Ave ,10017,(212) 681-9091,http://www.livevillage.com/newyork/art/seven-colors.html,Not Available,"Family, Couple, Individual",1.28 Miles
Art Gallery,Shades of Art,47 Flatbush Ave ,11217,(718) 834-0084,http://www.merchantcircle.com/business/Shades.of.Art.718-834-0084,Not Available,"Family, Couple, Individual",4.54 Miles
Art Gallery,Shainman Jack Gallery,513 W 20th St ,10011,(212) 645-1701,http://www.jackshainman.com/,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Shapolsky Anita Gallery,152 E 65th St ,10021,(212) 452-1094,http://www.anitashapolskygallery.com/,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Shawn Dulaney Studio,34 W 22nd St ,10010,(212) 255-7986,http://www.shawndulaney.com/,Not Available,"Family, Couple, Individual",0.63 Miles
Art Gallery,Shepherd & Derom Galleries,58 E 79th St ,10021,(212) 861-4050,http://www.shepherdgallery.com/feature.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Shickman H Gallery,220 E 72nd St ,10021,(212) 249-3800,http://whrrl.com/place/1220422/shickman-h-gallery-new-york,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Sigrid Freundorfer Fine Art,790 Madison Ave ,10021,(212) 517-9700,http://oneartworld.com/Sigrid+Freundorfer+Fine+Art.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Silverstein Gallery Inc,520 West 21st St ,10011,(212) 929-4300,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CC5FF-3048-28EB-9213D9BD1A052B8E,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Skoto Gallery,529 W 20th St ,10011,(212) 352-8058,http://www.skotogallery.com/homepage,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Smack Mellon Studios,92 Plymouth St ,11201,(718) 422-0989,http://www.smackmellon.org/,Not Available,"Family, Couple, Individual",3.70 Miles
Art Gallery,Smith Gallery,447 W 24th St ,10011,(212) 744-6171,http://www.nyc.com/arts__attractions/smith_gallery.185/editorial_review.aspx,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Society For Renewal of Christian Art,217 E 66th St ,10021,(212) 288-8186,http://www.nyc.com/arts__attractions/society_for_renewal_of_christian_art.340/editorial_review.aspx,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Soho 20,511 W 25th St ,10001,(212) 367-8994,http://www.soho20gallery.com/New/exhibitions.html,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Soho Photo Gallery,15 White St ,10013,(212) 226-8571,http://www.sohophoto.com/,Not Available,"Family, Couple, Individual",2.03 Miles
