CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS,TOURIST TYPE,Distance_Statue
Art Gallery,Ricco Maresca Gallery,529 W 20th St ,10011,(212) 627-4819,http://www.riccomaresca.com,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Richard Solomon,305 E 50th St ,10022,(212) 223-9545,http://www.richardsolomon.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Richard York Gallery,21 E. 65th St. 2nd. Fl.,10065,(212) 772-9155,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6E92-3048-28EB-924791189BBB08A3,Not Available,"Family, Couple, Individual",4.94 Miles
Art Gallery,Ritter-Antik Inc,35 E 10th St ,10003,(212) 673-2213,http://www.ritterantik.com/index.php,Not Available,"Family, Couple, Individual",2.29 Miles
Art Gallery,Rivington Bar & Art Gallery,174 Rivington St ,10002,(212) 253-7703,http://www.nyc.com/arts__attractions/rivington_bar__art_gallery.1676/whats_nearby.aspx,Not Available,"Family, Couple, Individual",1.48 Miles
Art Gallery,Robert Lee Morris Inc,400 W Broadway ,10012,(212) 431-9405,http://www.robertleemorris.com/contactus.php,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Robert Mann Gallery,210 11th Ave ,10001,(212) 989-7600,http://www.robertmann.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Robert Miller Gallery Inc,526 W 26th St ,10001,(212) 366-4774,http://www.robertmillergallery.com/index2.html,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Robert Steele Gallery,511 W 25th St ,10001,(212) 243-0165,http://www.robertsteelegallery.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Robertson African Arts,36 W 22nd St Apt 4,10010,(212) 206-0912,http://wap.outalot.com/listings/314463-Robertson-African-Arts,Not Available,"Family, Couple, Individual",2.93 Miles
Art Gallery,Ronald Feldman Fine Arts,31 Mercer St ,10013,(212) 226-3232,http://www.feldmangallery.com/pages/home_frame.html,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Rosen Andrea Gallery Inc,525 W 24th St ,10011,(212) 627-6000,http://www.andrearosengallery.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Rosenberg & Kaufman Fine Art,115 Wooster St ,10012,(212) 431-4838,http://www.robertkuszek.com/,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Ross Luise Gallery,511 West 25 Street ,10001,(212) 343-2161,http://www.luiserossgallery.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Rotunda Gallery,33 Clinton St ,11201,(718) 875-4047,http://www.nyc-arts.org/organizations/1668/rotunda-gallery,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Royal-Athena Galleries,153 E 57th St Ph,10022,(212) 355-2033,http://www.royalathena.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Ruesch Jeffrey Fine Arts,134 Spring St Fl 2,10012,(212) 925-1137,http://www.rateitall.com/i-410032-ruesch-jeffrey-fine-arts.aspx,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Russeck Gallery,478 W Broadway ,10012,(212) 475-9939,http://local.botw.org/New_York/New_York/Russeck_Gallery/11582297.html,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Russian World,18 W 55th St ,10019,(212) 399-6500,http://www.nyc.com/arts__attractions/russian_world.1710/map_location.aspx,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,S 2 Editions Ltd,155 Ave of the Americas ,10013,(212) 206-7345,http://www.nyc.com/arts__attractions/s_2_editions_ltd.958/editorial_review.aspx,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,S E Art & Design Inc,232 E 59th St ,10022,(212) 980-1914,http://www.seartanddesign.com/contactus.html,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Sabbatique Ltd,10 Waterside Plz ,10010,(212) 213-9344,http://www.sabbatiqueltd.com/contact.htm,Not Available,"Family, Couple, Individual",2.93 Miles
Art Gallery,Sacks Fine Art,229 East 60th Street ,10022,(212) 333-7755,http://sacksfineart.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Sara Meltzer On View,588 Broadway #612,10012,(212) 343-8256,http://www.sarameltzergallery.com/artist.php?artist=tallichet&p=cv,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Sarafina Inc,411 Myrtle Ave ,11205,(718) 522-1083,http://m.nyc.com/arts__attractions/sarafina_inc.739/whats_nearby.aspx?sec=att,Not Available,"Family, Couple, Individual",2.53 Miles
Art Gallery,Sarajo Inc,130 Greene St ,10012,(212) 966-6156,http://www.yelp.com/biz/sarajo-inc-new-york,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Sarina Tang Fine Art,535 W 23rd St ,10011,(212) 242-9001,http://web2.userinstinct.com/30817016-sarina-tang-fine-art.htm,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Savacou Galleries,240 E 13th St ,10003,(212) 473-6904,http://www.artchain.com/cgi-bin/showorganization.cgi?org=150,Not Available,"Family, Couple, Individual",2.29 Miles
Art Gallery,Schellmann Editions,210 11th Ave ,10001,(212) 219-1821,http://www.editionschellmann.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Schickler Howard Fine Art,100 Water St ,11201,(212) 431-6363,http://www.schicklerart.com/,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Schonfeld R D & Co Inc,349 E 49th St Apt 6B,10017,(212) 755-7005,http://www.nyc.com/arts__attractions/schonfeld_r_d__co_inc.288/whats_nearby.aspx,Not Available,"Family, Couple, Individual",3.88 Miles
Art Gallery,Sculpture Center,44-19 Purves St ,11101,(718) 361-1750,http://www.sculpture-center.org/,Not Available,"Family, Couple, Individual",4.91 Miles
Art Gallery,Sean Kelly Inc,526 W 29th St ,10001,(212) 239-1181,http://www.skny.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Sears-Peyton Gallery,210 11th Ave ,10001,(212) 966-7469,http://www.searspeyton.com/html/home.asp,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Seaside Summer Concert Series Inc,572 Flatbush Ave ,11225,(718) 469-1912,http://www.nyc.com/arts__attractions/seaside_summer_concert_series_inc.1588/editorial_review.aspx,Not Available,"Family, Couple, Individual",4.17 Miles
Art Gallery,Second Ave Art Expo,980 2nd Ave ,10022,(212) 223-9095,http://www.merchantcircle.com/business/Second.Ave.Art.Expo.212-223-9095,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Senior & Shopmaker,21 E 26th St ,10010,(212) 213-6767,http://www.seniorandshopmaker.com/,Not Available,"Family, Couple, Individual",2.93 Miles
Art Gallery,Sepia International Inc the,148 W 24th St Fl 11,10011,(212) 645-9444,http://www.sepia.org/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Seven Colors,555 5th Ave ,10017,(212) 681-9091,http://www.livevillage.com/newyork/art/seven-colors.html,Not Available,"Family, Couple, Individual",3.88 Miles
Art Gallery,Shades of Art,47 Flatbush Ave ,11217,(718) 834-0084,http://www.merchantcircle.com/business/Shades.of.Art.718-834-0084,Not Available,"Family, Couple, Individual",2.16 Miles
Art Gallery,Shainman Jack Gallery,513 W 20th St ,10011,(212) 645-1701,http://www.jackshainman.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Shawn Dulaney Studio,34 W 22nd St ,10010,(212) 255-7986,http://www.shawndulaney.com/,Not Available,"Family, Couple, Individual",2.93 Miles
Art Gallery,Silverstein Gallery Inc,520 West 21st St ,10011,(212) 929-4300,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CC5FF-3048-28EB-9213D9BD1A052B8E,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Skoto Gallery,529 W 20th St ,10011,(212) 352-8058,http://www.skotogallery.com/homepage,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Sloan McGill Collection,150 Midwood St ,11225,(718) 469-1930,http://www.nyc.com/arts__attractions/sloan_mcgill_collection.1894/editorial_review.aspx,Not Available,"Family, Couple, Individual",4.17 Miles
Art Gallery,Smack Mellon Studios,92 Plymouth St ,11201,(718) 422-0989,http://www.smackmellon.org/,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Smith Gallery,447 W 24th St ,10011,(212) 744-6171,http://www.nyc.com/arts__attractions/smith_gallery.185/editorial_review.aspx,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Soho 20,511 W 25th St ,10001,(212) 367-8994,http://www.soho20gallery.com/New/exhibitions.html,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Soho Photo Gallery,15 White St ,10013,(212) 226-8571,http://www.sohophoto.com/,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Soldwedel Kipp,470 Park Ave ,10022,(212) 759-1175,http://www.ziphip.com/soldwedel+kipp.9.7196845p.home.html,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Sonnabend Gallery Inc,532 W 22nd St ,10011,(212) 627-1018,http://www.artnet.com/sonnabend.html,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Spencer Brownstone Gallery,39 Wooster St. ,10013,(212) 334-3455,http://www.spencerbrownstonegallery.com/000mailing.html,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Sperone Westwater,121 Greene St ,10012,(212) 253-0648,http://www.speronewestwater.com/cgi-bin/iowa/index.html,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Spring,126 Front St ,11201,(718) 222-1054,http://www.spring3d.net/,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Sragow Ellen Ltd,153 West 27th Street Room #505,10001,(212) 219-1793,http://www.sragowgallery.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,St Etienne Galerie,24 W 57th St ,10019,(212) 245-6734,http://www.gseart.com/,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Staley-Wise Gallery,560 Broadway ,10012,(212) 966-6223,http://www.staleywise.com,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Start,50 Greene St ,10013,(212) 431-2414,http://www.livevillage.com/newyork/art/start.html,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,State of Art,113 Franklin St ,11222,(718) 349-7250,http://www.merchantcircle.com/blogs/State.of.Art.718-349-7250,Not Available,"Family, Couple, Individual",3.69 Miles
Art Gallery,Stein Gertrude Gallery,200 West 57th Street ,10019,(212) 535-0600,http://www.gallerygertrudestein.com/contact.htm,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Stephen Downes Gallery,377 Broome St ,10013,(212) 274-9194,http://www.nyc.com/arts__attractions/stephen_downes_gallery.263/editorial_review.aspx,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Stewart Waltzer Co,200 W Houston St Apt 3D,10014,(212) 675-4949,http://www.manta.com/coms2/dnbcompany_jr0lm4,Not Available,"Family, Couple, Individual",2.09 Miles
Art Gallery,Storefront For Art and Architecture,97 Kenmare St ,10012,(212) 431-5795,http://www.storefrontnews.org/,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,"Stricoff Fine Art, Ltd.",564 W 25th St ,10001,(212) 219-3977,http://www.stricoff.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Studio Tamar,152 E 22nd St ,10010,(212) 529-4247,http://www.upspring.com/studio-tamar-new-york-ny.html,Not Available,"Family, Couple, Individual",2.93 Miles
Art Gallery,Stux Gallery,530 W 25th St ,10001,(212) 352-1600,http://www.stuxgallery.com,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Suite 106,112 Mercer St ,10012,(212) 274-9166,http://www.art-search.us/listing/22923/suite-106-gallery,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Sun Yi Jun,83 Bowery ,10002,(212) 625-1910,http://www.nyc.com/arts__attractions/sun_yi_jun.821/editorial_review.aspx,Not Available,"Family, Couple, Individual",1.48 Miles
Art Gallery,Susan Aberbach Fine Art,41 E 57th St ,10022,(212) 207-4600,http://www.saberbach.com/site.html,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Susan Megson Gallery,456 W Broadway ,10012,(212) 254-8090,http://web2.userinstinct.com/31111920-susan-megson-gallery.htm,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Susan Sheehan Gallery,535 West 22nd Street 3rd Floor,10011,(212) 489-3331,http://www.susansheehangallery.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Swiss Institute,495 Broadway 3rd Fl,10012,(212) 925-2035,http://www.swissinstitute.net/,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Taglialatella Dominic J,511 West 25th Street 2nd Floor,10001,(212) 367-0881,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CDBF0-3048-28EB-923E29A3CAFD93E0,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Takako Tsuji Gallery,41 E 57th St ,10022,(212) 231-1778,http://trustedplaces.com/review/us/ny/new-york/cultural/1415l81/takako-tsuji-gallery,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Talwar Gallery,108 E 16th St Fl 3,10003,(212) 673-3096,http://www.talwargallery.com/,Not Available,"Family, Couple, Individual",2.29 Miles
Art Gallery,Tanya Bonakdar Galery,521 W 21st St ,10011,(646) 638-9471,http://www.livevillage.com/newyork/art/tanya-bonakdar-galery.html,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Tate,413 W 14th St Ste 3,10014,(212) 242-9888,http://www.yelp.com/biz/tate-new-york,Not Available,"Family, Couple, Individual",2.09 Miles
Art Gallery,Tatistcheff Gallery Inc,529 West 20th Street 6th Floor,10011,(212) 664-0907,http://www.artinfo.com/galleryguide/13109/1619/tatistcheff-gallery-new-york/visit/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Team Gallery,527 W. 26th St. ,10001,(212) 279-9219,http://www.teamgal.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Teller Susan Gallery,568 Broadway ,10012,(212) 941-7335,http://www.susantellergallery.com/,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Tenri Cultural Institute,43A W. 13th St. 1st Fl.,10011,(212) 645-2800,http://www.tenri.org/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,The Affordable Art Fair Llc,216 W 18th St Ph,10011,(212) 255-2003,http://www.nyc.com/arts__attractions/the_affordable_art_fair_llc.1679/editorial_review.aspx,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,The Axa Gallery,787 7th Ave ,10019,(212) 554-4818,http://axagallery.com/index.html,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,The Bohen Foundation,415 W 13th St ,10014,(212) 414-4575,http://ny.citysquares.com/manhattan/meatpacking-district/arts-entertainment/artists-art-dealers/the-bohen-foundation,Not Available,"Family, Couple, Individual",2.09 Miles
Art Gallery,The Chinese Art Gallery,1050 2nd Ave ,10022,(212) 759-1153,http://www.411.info/business/New-York/New-York/The-Chinese-Art-Gallery-Ltd/8957246-13714534.html,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,The Dollhaus Art Gallery,37 Broadway ,11211,(718) 486-0330,http://www.dollhaus.org/press/NYPress.htm,Not Available,"Family, Couple, Individual",3.22 Miles
Art Gallery,The Old Print Shop Inc,150 Lexington Ave ,10016,(212) 683-3950,http://www.oldprintshop.com/cgi-bin/gallery.pl?action=exhibits&exhibit_id=53,Not Available,"Family, Couple, Individual",3.28 Miles
Art Gallery,The Phatory Llc,618 E 9th St ,10009,(212) 777-7922,http://www.thephatory.com/,Not Available,"Family, Couple, Individual",2.19 Miles
Art Gallery,The Q Department,28 Howard St ,10013,(212) 219-3304,http://www.qdepartment.com/commercial.php,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,The Scene Gallery,42 Rivington St ,10002,(212) 674-0508,http://newyork.citysearch.com/profile/11583862/new_york_ny/the_scene_gallery.html,Not Available,"Family, Couple, Individual",1.48 Miles
Art Gallery,Thicket,10 Leonard St ,10013,(212) 343-2849,http://outside.in/tribeca-manhattan-ny/thicket,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Think Art Gallery,336 W 37th St ,10018,(212) 695-2006,http://www.nyc.com/arts__attractions/think_art_gallery.1775/editorial_review.aspx,Not Available,"Family, Couple, Individual",3.69 Miles
Art Gallery,Thomas & Hirsch,375 W Broadway ,10012,(212) 625-2011,http://www.nyc.com/arts__attractions/thomas__hirsch.597/map_location.aspx,Not Available,"Family, Couple, Individual",1.63 Miles
